claim_id,register_scope,category,page_id,slug,page_type,intended_status,exact_claim,matched_text,placement,widget_type,evidence_citation,evidence_status,required_disposition,blocks_staging,blocks_publication,final_disposition,final_text,disposition_authority,final_blocks_staging,final_blocks_publication
LEG-0011,legacy_232,licence_insurance_accreditation,474,concreters-oran-park,suburb,publish,Licensed & Insured,Licensed & Insured,_elementor_data:$[11].elements[1].elements[2].settings.title_text,icon-box,NONE — data/verified-facts.yml licensing; no contractor credential is authorised,UNSUPPORTED,remove or restate only as a requirement to verify the independent provider,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0012,legacy_232,licence_insurance_accreditation,474,concreters-oran-park,suburb,publish,"NSW licence [[NSW_LICENCE_NO]], public liability and HBCF where required.",NSW licence,_elementor_data:$[11].elements[1].elements[2].settings.description_text,icon-box,NONE — data/verified-facts.yml licensing; no contractor credential is authorised,UNSUPPORTED,remove or restate only as a requirement to verify the independent provider,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0013,legacy_232,workmanship_guarantee_warranty,474,concreters-oran-park,suburb,publish,Written workmanship guarantee on every job.,workmanship guarantee,_elementor_data:$[11].elements[1].elements[3].settings.description_text,icon-box,NONE — no verified written guarantee or warranty instrument,UNSUPPORTED,remove the promise or state only that provider-specific terms must be confirmed,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0014,legacy_232,service_area_claim,474,concreters-oran-park,suburb,publish,AREAS WE COVER AROUND ORAN PARK,AREAS WE COVER,_elementor_data:$[12].elements[1].elements[0].settings.title,heading,NONE — data/verified-facts.yml service_areas verified:false and empty,UNSUPPORTED,replace with non-service suburb information or remove,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0015,legacy_232,local_operation_or_premises,474,concreters-oran-park,suburb,publish,"We work across Oran Park and the surrounding Camden growth suburbs, including Catherine Field , Gledswood Hills , Gregory Hills and Harrington Park .",work across,_elementor_data:$[12].elements[1].elements[1].settings.editor,text-editor,NONE — administrative office is not customer-facing; service_areas remains unverified,UNSUPPORTED,remove local-contractor/premises implication,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0016,legacy_232,service_area_claim,474,concreters-oran-park,suburb,publish,"We work across Oran Park and the surrounding Camden growth suburbs, including Catherine Field , Gledswood Hills , Gregory Hills and Harrington Park .",We work across,_elementor_data:$[12].elements[1].elements[1].settings.editor,text-editor,NONE — data/verified-facts.yml service_areas verified:false and empty,UNSUPPORTED,replace with non-service suburb information or remove,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0017,legacy_232,fixed_price_on_site_quote,474,concreters-oran-park,suburb,publish,"It comes down to area, finish and access. A standard two-car driveway on a 350–450sqm lot is usually somewhere in the 40–70m² range from kerb to garage, and plain concrete sits at the lower end with exposed aggregate and decorative finishes above it. We measure on site and give you a fixed price rather than a per-metre estimate off an aerial photo. [[PLACEHOLDER: insert your real per-m² ranges once you've quoted 5+ Camden jobs]]",give you a fixed price,_elementor_data:$[14].elements[2].elements[2].elements[0].settings.editor,text-editor,NONE — data/verified-facts.yml pricing and owner attestation 21 August 2026,UNSUPPORTED,remove the promise; say only that job-specific quotations and terms must be confirmed,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0018,legacy_232,contractor_operator_claim,474,concreters-oran-park,suburb,publish,"It comes down to area, finish and access. A standard two-car driveway on a 350–450sqm lot is usually somewhere in the 40–70m² range from kerb to garage, and plain concrete sits at the lower end with exposed aggregate and decorative finishes above it. We measure on site and give you a fixed price rather than a per-metre estimate off an aerial photo. [[PLACEHOLDER: insert your real per-m² ranges once you've quoted 5+ Camden jobs]]",We measure,_elementor_data:$[14].elements[2].elements[2].elements[0].settings.editor,text-editor,"NONE — owner operating-model attestation, 21 August 2026",UNSUPPORTED,replace direct-contractor wording with the authorised enquiry-coordination disclosure,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0019,legacy_232,fixed_price_on_site_quote,474,concreters-oran-park,suburb,publish,"Concreting in Oran Park 2570 for driveways, slabs, paths and crossovers, using the verified Camden Council approval path. Request an on-site quote.",on-site quote,postmeta:rank_math_description,meta,NONE — data/verified-facts.yml pricing and owner attestation 21 August 2026,UNSUPPORTED,remove the promise; say only that job-specific quotations and terms must be confirmed,True,True,NEUTRALISED_WITH_ATTESTED_OR_NONCLAIM_WORDING,Concreting information only. Council requirements must be checked for the specific property and proposed work.,"owner attestation and remediation authority, 21 August 2026; unsupported verified-council meta claim removed",False,False
LEG-0020,legacy_232,researched_job_record,221,concreters-leppington,suburb,publish,"The typical Leppington workload includes High-volume new-build driveways across the 2016–present release area, Crossovers for house-and-land handovers, Alfresco slabs and Retaining and stepped driveways on the Ingleburn Road grade. Preparation is matched to the verified Leppington ground profile, the finished levels and the intended load rather than copied from a neighbouring suburb. The Leppington evidence register identifies Camden Growth Centres LEP 2008, Liverpool LEP 2008 and Austral and Leppington North Precinct DCP and records the local housing period as 2016–present, multi-developer release. Access evidence for Leppington is anchored to Camden Valley Way, Ingleburn Road, Heath Road, Rickard Road and Bringelly Road; the Leppington locality references are Leppington railway station (South West Rail Link terminus), HomeWorld Leppington display village and Leppington Public School. The researched Leppington job record contains High-volume new-build driveways across the 2016–present release area, Crossovers for house-and-land handovers, Alfresco slabs and Retaining and stepped driveways on the Ingleburn Road grade. These Leppington examples describe the supplied job mix rather than a claim about an unverified project. The unresolved Leppington checks are framed by these supplied questions: Is my Leppington block in Camden or Liverpool council?, How does the Upper South Creek flood planning level affect my slab height? and Do the two councils charge different crossover fees?. Each Leppington answer must retain its cited council, planning, engineering or operator source. The Leppington development references supplied for research are Crownland Developments, Rawson Communities, Creation Homes, Seed Projects and Valley Rise Estate. The Leppington page treats those names as source leads, not as proof of a Structure Co project. The supplied Leppington job weighting is new build 80%, replacement 5%, decorative 10% and commercial 5%. The Leppington service emphasis follows that recorded mix. The Leppington research brief assigns postcode 2179, authority Camden Council / Liverpool City Council (split — verify per lot) and primary query concreters leppington. Those Leppington identifiers must agree across the import record. The supplied Leppington query set is concreter leppington, concreting leppington nsw, concrete driveway leppington, concrete slab leppington, exposed aggregate leppington, driveway crossover leppington and leppington concrete contractors. The Leppington body uses that set only where the researched ground, approval or job evidence supports the wording. Leppington separates its concrete slabs evidence from the general Leppington brief; Concrete Slabs in Leppington carries that service decision.",The researched Leppington job record contains,_elementor_data:$[6].elements[1].elements[0].elements[1].settings.editor,text-editor,NONE — DECISION-06 D32: no Camden job record exists,UNSUPPORTED,remove the invented job-record construction,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026; invented researched-job-record construction removed",False,False
LEG-0021,legacy_232,real_photo_pending_local_project,221,concreters-leppington,suburb,publish,[[REAL_PHOTO_PENDING: verified Structure Co project in Leppington]],[[REAL_PHOTO_PENDING: verified Structure Co project in Leppington]],_elementor_data:$[10].elements[0].elements[1].settings.editor,text-editor,NONE — DECISION-06 D32 and Report 50,UNSUPPORTED,remove the evidential local-work module,True,True,REMOVED_BY_REPORT_50_MEDIA_AND_D32,,DECISION-06 D32; owner-approved Report 49/Report 50 media plan,False,False
LEG-0022,legacy_232,real_photo_pending_local_project,221,concreters-leppington,suburb,publish,[[REAL_PHOTO_PENDING: verified Structure Co project in Leppington]],[[REAL_PHOTO_PENDING: verified Structure Co project in Leppington]],_elementor_data:$[10].elements[1].elements[1].settings.editor,text-editor,NONE — DECISION-06 D32 and Report 50,UNSUPPORTED,remove the evidential local-work module,True,True,REMOVED_BY_REPORT_50_MEDIA_AND_D32,,DECISION-06 D32; owner-approved Report 49/Report 50 media plan,False,False
LEG-0023,legacy_232,real_photo_pending_local_project,221,concreters-leppington,suburb,publish,[[REAL_PHOTO_PENDING: verified Structure Co project in Leppington]],[[REAL_PHOTO_PENDING: verified Structure Co project in Leppington]],_elementor_data:$[10].elements[2].elements[1].settings.editor,text-editor,NONE — DECISION-06 D32 and Report 50,UNSUPPORTED,remove the evidential local-work module,True,True,REMOVED_BY_REPORT_50_MEDIA_AND_D32,,DECISION-06 D32; owner-approved Report 49/Report 50 media plan,False,False
LEG-0024,legacy_232,fixed_price_on_site_quote,221,concreters-leppington,suburb,publish,Fixed-Price On-Site Quotes in Oran Park,Fixed-Price On-Site Quotes,_elementor_data:$[11].elements[1].elements[0].settings.title_text,icon-box,NONE — data/verified-facts.yml pricing and owner attestation 21 August 2026,UNSUPPORTED,remove the promise; say only that job-specific quotations and terms must be confirmed,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0025,legacy_232,licence_insurance_accreditation,221,concreters-leppington,suburb,publish,Licensed & Insured,Licensed & Insured,_elementor_data:$[11].elements[1].elements[2].settings.title_text,icon-box,NONE — data/verified-facts.yml licensing; no contractor credential is authorised,UNSUPPORTED,remove or restate only as a requirement to verify the independent provider,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0026,legacy_232,service_area_claim,221,concreters-leppington,suburb,publish,AREAS WE COVER AROUND LEPPINGTON,AREAS WE COVER,_elementor_data:$[12].elements[1].elements[0].settings.title,heading,NONE — data/verified-facts.yml service_areas verified:false and empty,UNSUPPORTED,replace with non-service suburb information or remove,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
LEG-0027,legacy_232,false_verified_project_record,221,concreters-leppington,suburb,publish,"For Leppington, the verified project record says: Leppington straddles the Camden and Liverpool council boundary. Two lots on opposite sides of the same street can require two different crossover applications, two fee schedules and two inspection processes. Check the lot on the NSW Planning Portal before quoting.",verified project record says,_elementor_data:$[14].elements[2].elements[0].elements[0].settings.editor,text-editor,NONE — DECISION-06 D32: no Camden job completed or scheduled,UNSUPPORTED,remove false project-record framing; retain only separately sourced public facts,True,True,REPLACED_WITH_OFFICIAL_LIVERPOOL_EVIDENCE,,https://www.liverpool.nsw.gov.au/__data/assets/pdf_file/0003/286329/VEHICULAR-CROSSING-APPLICATION-FORM-March-2026v1.pdf; accessed 2026-08-21,False,False
LEG-0028,legacy_232,false_verified_project_record,221,concreters-leppington,suburb,publish,"For Leppington, the verified project record says: Reactive Wianamatta clay with Upper South Creek drainage running through parts of the suburb. Flood-affected streets have a specified flood planning level that governs slab height and fall — this is a design input, not an afterthought.",verified project record says,_elementor_data:$[14].elements[2].elements[1].elements[0].settings.editor,text-editor,NONE — DECISION-06 D32: no Camden job completed or scheduled,UNSUPPORTED,remove false project-record framing; retain only separately sourced public facts,True,True,REPLACED_WITH_OFFICIAL_LIVERPOOL_EVIDENCE,,https://www.liverpool.nsw.gov.au/__data/assets/pdf_file/0003/286329/VEHICULAR-CROSSING-APPLICATION-FORM-March-2026v1.pdf; accessed 2026-08-21,False,False
LEG-0029,legacy_232,false_verified_project_record,221,concreters-leppington,suburb,publish,"For Leppington, the verified project record says: Camden Council Standard/Non-Standard Driveway Crossing Application OR Liverpool City Council vehicle crossing application, depending on which LGA the lot falls in.",verified project record says,_elementor_data:$[14].elements[2].elements[2].elements[0].settings.editor,text-editor,NONE — DECISION-06 D32: no Camden job completed or scheduled,UNSUPPORTED,remove false project-record framing; retain only separately sourced public facts,True,True,REPLACED_WITH_OFFICIAL_LIVERPOOL_EVIDENCE,,https://www.liverpool.nsw.gov.au/__data/assets/pdf_file/0003/286329/VEHICULAR-CROSSING-APPLICATION-FORM-March-2026v1.pdf; accessed 2026-08-21,False,False
LEG-0030,legacy_232,researched_job_record,969,concreters-gregory-hills,suburb,publish,"The typical Gregory Hills workload includes Residential driveways on the more affordable Dart West stock, Warehouse and factory floor slabs, Loading dock aprons and truck hardstands and Carpark slabs and kerbing. Preparation is matched to the verified Gregory Hills ground profile, the finished levels and the intended load rather than copied from a neighbouring suburb. Where the brief is business-facing, commercial concreting in Gregory Hills is scoped around the documented use and project requirements rather than domestic assumptions. The Gregory Hills evidence register identifies Turner Road Precinct DCP and Camden Growth Centres LEP 2008 and records the local housing period as 2013–present residential; ongoing industrial build-out. Access evidence for Gregory Hills is anchored to Gregory Hills Drive, Badgally Road, Rodeo Road and Turner Road; the Gregory Hills locality references are Gregory Hills Town Centre, Turner Road Precinct, Smeaton Grange industrial estate (adjacent), Mater Dei and Gregory Hills Public School. The researched Gregory Hills job record contains Residential driveways on the more affordable Dart West stock, Warehouse and factory floor slabs, Loading dock aprons and truck hardstands and Carpark slabs and kerbing. These Gregory Hills examples describe the supplied job mix rather than a claim about an unverified project. The unresolved Gregory Hills checks are framed by these supplied questions: What thickness does a forklift-rated warehouse slab need in Gregory Hills?, Can you pour a commercial hardstand while the tenancy is operating? and What's the difference between a residential driveway mix and a hardstand mix?. Each Gregory Hills answer must retain its cited council, planning, engineering or operator source. The Gregory Hills development references supplied for research are Gregory Hills Estate (Dart West Developments). The Gregory Hills page treats those names as source leads, not as proof of a Structure Co project. The supplied Gregory Hills job weighting is new build 45%, replacement 5%, decorative 10% and commercial 40%. The Gregory Hills service emphasis follows that recorded mix. The Gregory Hills research brief assigns postcode 2557, authority Camden Council and primary query concreters gregory hills. Those Gregory Hills identifiers must agree across the import record. The supplied Gregory Hills query set is concreter gregory hills, concrete driveway gregory hills, concrete slab gregory hills, commercial concreting gregory hills, warehouse slab gregory hills and shed slab gregory hills. The Gregory Hills body uses that set only where the researched ground, approval or job evidence supports the wording. Gregory Hills separates its concrete slabs evidence from the general Gregory Hills brief; Concrete Slabs in Gregory Hills carries that service decision.",The researched Gregory Hills job record contains,_elementor_data:$[6].elements[1].elements[0].elements[1].settings.editor,text-editor,NONE — DECISION-06 D32: no Camden job record exists,UNSUPPORTED,remove the invented job-record construction,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026; invented researched-job-record construction removed",False,False
LEG-0031,legacy_232,real_photo_pending_local_project,969,concreters-gregory-hills,suburb,publish,[[REAL_PHOTO_PENDING: verified Structure Co project in Gregory Hills]],[[REAL_PHOTO_PENDING: verified Structure Co project in Gregory Hills]],_elementor_data:$[10].elements[0].elements[1].settings.editor,text-editor,NONE — DECISION-06 D32 and Report 50,UNSUPPORTED,remove the evidential local-work module,True,True,REMOVED_BY_REPORT_50_MEDIA_AND_D32,,DECISION-06 D32; owner-approved Report 49/Report 50 media plan,False,False
LEG-0032,legacy_232,real_photo_pending_local_project,969,concreters-gregory-hills,suburb,publish,[[REAL_PHOTO_PENDING: verified Structure Co project in Gregory Hills]],[[REAL_PHOTO_PENDING: verified Structure Co project in Gregory Hills]],_elementor_data:$[10].elements[1].elements[1].settings.editor,text-editor,NONE — DECISION-06 D32 and Report 50,UNSUPPORTED,remove the evidential local-work module,True,True,REMOVED_BY_REPORT_50_MEDIA_AND_D32,,DECISION-06 D32; owner-approved Report 49/Report 50 media plan,False,False
LEG-0033,legacy_232,real_photo_pending_local_project,969,concreters-gregory-hills,suburb,publish,[[REAL_PHOTO_PENDING: verified Structure Co project in Gregory Hills]],[[REAL_PHOTO_PENDING: verified Structure Co project in Gregory Hills]],_elementor_data:$[10].elements[2].elements[1].settings.editor,text-editor,NONE — DECISION-06 D32 and Report 50,UNSUPPORTED,remove the evidential local-work module,True,True,REMOVED_BY_REPORT_50_MEDIA_AND_D32,,DECISION-06 D32; owner-approved Report 49/Report 50 media plan,False,False
