slug,post_id,status,in_allowlist,differentiator,differentiator_trace_pct,differentiator_traced,parent_service,parent_service_exists,links_up_to_service,parent_suburb,parent_suburb_exists,links_across_to_suburb,suburb_page_exists_first,status_is_draft,body_words
concrete-slabs-austral,1480,draft,yes,Decades of market-garden use left undocumented fill across much of the suburb. Assuming a Class M site here without test,1.00,yes,concrete-slabs-south-west-sydney,yes,yes,concreters-austral,yes,yes,yes,yes,2096
concrete-slabs-bringelly,1501,draft,yes,Documented sulfate concentrations near western Sydney creek lines make aggressivity assessment under AS 2159 a real desi,1.00,yes,concrete-slabs-south-west-sydney,yes,yes,concreters-bringelly,yes,yes,yes,yes,2085
concrete-slabs-gledswood-hills,1476,draft,yes,Lots backing onto the South Creek riparian corridor and the Sydney Water Upper Canal sit near documented sulfate and chl,1.00,yes,concrete-slabs-south-west-sydney,yes,yes,concreters-gledswood-hills,yes,yes,yes,yes,2117
concrete-slabs-gregory-hills,1475,draft,yes,A warehouse floor and a residential slab are not the same product. Commercial slabs here need a thicker reinforced secti,1.00,yes,concrete-slabs-south-west-sydney,yes,yes,concreters-gregory-hills,yes,yes,yes,yes,2114
concrete-slabs-leppington,1472,draft,yes,Streets affected by Upper South Creek carry a flood planning level that governs slab height and fall. On those lots the ,1.00,yes,concrete-slabs-south-west-sydney,yes,yes,concreters-leppington,yes,yes,yes,yes,2093
decorative-concrete-harrington-park,1483,draft,yes,"The same Harrington Grove schedule sets width at 3m to 5.5m, average grade at 1:6, and requires the driveway to sit at l",1.00,yes,decorative-concrete-south-west-sydney,yes,yes,concreters-harrington-park,yes,yes,yes,yes,1020
exposed-aggregate-gledswood-hills,1477,draft,yes,"Lots run 350-600sqm with wide frontages, so driveway areas are large enough that the per-square-metre premium on exposed",1.00,yes,exposed-aggregate-south-west-sydney,yes,yes,concreters-gledswood-hills,yes,yes,yes,yes,1908
exposed-aggregate-harrington-park,1482,draft,yes,Under the Harrington Grove schedule of the Camden DCP a driveway must be built across its full width in stencilled or st,1.00,yes,exposed-aggregate-south-west-sydney,yes,yes,concreters-harrington-park,yes,yes,yes,yes,1926
exposed-aggregate-oran-park,1470,draft,yes,"The Hermitage and the newer premium releases already have exposed aggregate through the streetscape, so owners specify i",1.00,yes,exposed-aggregate-south-west-sydney,yes,yes,concreters-oran-park,yes,yes,yes,yes,1913
shed-and-garage-slabs-catherine-field,1486,draft,yes,"The retained acreage lots carry machinery, floats and delivery trucks that a suburban shed slab never sees. Section thic",1.00,yes,shed-and-garage-slabs-south-west-sydney,yes,yes,concreters-catherine-field,yes,yes,yes,yes,2121
shed-and-garage-slabs-oran-park,1469,draft,yes,"Compaction testing at subdivision stage was done for the house footprint, not the whole lot. Fill that is sound under th",1.00,yes,shed-and-garage-slabs-south-west-sydney,yes,yes,concreters-oran-park,yes,yes,yes,yes,2143
