figure,population,occurrences,post_id,slug,page_class,import_status,withdrawn,wave_assignment,attested,verified_in_service_specs,disposition,blocks_all_waves,context
1200mm,council-sourced-pending-verification,1,1379,concreters-cobbitty,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Cobbitty starts, the governing lo"
1200mm,council-sourced-pending-verification,1,1376,concreters-currans-hill,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Currans Hill starts, the governin"
1200mm,council-sourced-pending-verification,1,1378,concreters-elderslie,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Elderslie starts, the governing l"
1200mm,council-sourced-pending-verification,1,1370,concreters-gledswood-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. For crossover work in Gledswood Hills , council geometry a"
1200mm,council-sourced-pending-verification,1,969,concreters-gregory-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Gregory Hills starts, the governi"
1200mm,council-sourced-pending-verification,1,1126,concreters-harrington-park,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Harrington Park starts, the gover"
1200mm,council-sourced-pending-verification,1,1375,concreters-mount-annan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Mount Annan starts, the governing"
1200mm,council-sourced-pending-verification,1,1372,concreters-narellan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Narellan starts, the governing lo"
1200mm,council-sourced-pending-verification,2,474,concreters-oran-park,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"s 4.0m minimum to 5.5m maximum width, 125mm thick, 32 MPa concrete, SL72 reinforcing fabric. The footpath allocation is 1200mm wide and, in Oran Park specifically, starts 800mm from your property boundary rather than the 900mm that applies elsewhere in the LGA. Licence and public"
1200mm,council-sourced-pending-verification,1,1377,concreters-spring-farm,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Spring Farm starts, the governing"
1200mm,council-sourced-pending-verification,1,922,decorative-concrete-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Honed And"
1200mm,council-sourced-pending-verification,1,129,exposed-aggregate-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. aggregate-finish scope records intended use; aggregate-fin"
1200mm,council-sourced-pending-verification,1,12,homepage,home,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"idential crossing, the recorded specification is 32 MPa concrete, 125mm thickness, SL72 fabric, 4.0-5.5m urban width, a 1200mm footpath allocation, 4% crossfall and a maximum 1:6 batter. Tier 1 service areas are Oran Park , Leppington , Gregory Hills , Gledswood Hills , Austral a"
1200mm,council-sourced-pending-verification,1,1367,shed-and-garage-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. shed-slab scope documents intended use; shed-slab scope ke"
1:6,council-sourced-pending-verification,1,706,camden-council-driveway-crossing,guide,draft,YES,none — WITHDRAWN (D21),NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"s 32 MPa concrete, 125mm thickness, SL72 fabric, 4.0-5.5m width, a 1200mm footpath allocation, 4% crossfall and maximum 1:6 batter. camden-council-driveway-guide lists decision owner; camden-council-driveway-guide leaves an audit trail. camden-council-driveway-guide cites the per"
1:6,council-sourced-pending-verification,1,1369,commercial-concreting-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. hardstand-work scope tracks intended use; hardstand-work scope keeps provenance visible. hardstand-work scope notes the loading; hardstand-work"
1:6,council-sourced-pending-verification,1,1368,concrete-crossovers-and-laybacks-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Driveway Crossover Cost NSW before it is applied to a project scope. crossover-work scope record"
1:6,council-sourced-pending-verification,1,1366,concrete-driveway-replacement-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in How Long Before You Can Drive On Concrete before it is applied to a project scope. Finish and cu"
1:6,council-sourced-pending-verification,1,105,concrete-driveways-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in What Actually Moves A Concrete Quote before it is applied to a project scope. Finish and curing"
1:6,council-sourced-pending-verification,1,1493,concrete-driveways-spring-farm,intersection,draft,YES,none — WITHDRAWN (D16),NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"genuinely sloping ground, which the flat growth-corridor releases do not. Camden requires an average driveway grade of 1:6 with controlled vertical curves, so blocks here regularly need stepped pours, integrated retaining and a scratch or broom finish for traction rather than a"
1:6,council-sourced-pending-verification,1,178,concrete-paths-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. pathway-work scope tracks intended use; pathway-work scope leaves an audit trail. pathway-work scope notes the loading; pathway-work scope ident"
1:6,council-sourced-pending-verification,1,195,concrete-patios-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. alfresco-slab scope logs intended use; alfresco-slab scope keeps the basis explicit. alfresco-slab scope verifies the loading; alfresco-slab sco"
1:6,council-sourced-pending-verification,1,163,concrete-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Shed Slab Cost before it is applied to a project scope. residential-slab scope checks intended u"
1:6,council-sourced-pending-verification,1,1371,concreters-catherine-field,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Catherine Field starts, the governing lot and application path are checked. The related vehicle-crossing requirements g"
1:6,council-sourced-pending-verification,1,1379,concreters-cobbitty,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Cobbitty starts, the governing lot and application path are checked. The related vehicle-crossing requirements guide re"
1:6,council-sourced-pending-verification,1,1376,concreters-currans-hill,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Currans Hill starts, the governing lot and application path are checked. The related vehicle-crossing requirements guid"
1:6,council-sourced-pending-verification,1,1378,concreters-elderslie,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Elderslie starts, the governing lot and application path are checked. The related vehicle-crossing requirements guide r"
1:6,council-sourced-pending-verification,1,1370,concreters-gledswood-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. For crossover work in Gledswood Hills , council geometry and the estate finish control are both confirmed before work starts. The related vehicl"
1:6,council-sourced-pending-verification,1,969,concreters-gregory-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Gregory Hills starts, the governing lot and application path are checked. The related vehicle-crossing requirements gui"
1:6,council-sourced-pending-verification,4,1126,concreters-harrington-park,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"concrete, clay pavers or exposed aggregate — no portion may be uncoloured concrete. Width is 3m to 5.5m, average grade 1:6, and it must sit at least 500mm clear of kerb drainage structures and side fencing. Anyone quoting you a plain broom finish here has not read the controls."
1:6,council-sourced-pending-verification,1,1375,concreters-mount-annan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Mount Annan starts, the governing lot and application path are checked. The related vehicle-crossing requirements guide"
1:6,council-sourced-pending-verification,1,1372,concreters-narellan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Narellan starts, the governing lot and application path are checked. The related vehicle-crossing requirements guide re"
1:6,council-sourced-pending-verification,4,1377,concreters-spring-farm,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,nd that is what makes it different from the flat growth-corridor releases. Camden requires an average driveway grade of 1:6 with controlled vertical curves — on a steep Spring Farm block you either engineer the grade properly or you lodge a Non-Standard Driveway Application. Bloc
1:6,council-sourced-pending-verification,1,1483,decorative-concrete-harrington-park,intersection,draft,YES,none — WITHDRAWN (D16),NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"e authorising this exact intersection is: The same Harrington Grove schedule sets width at 3m to 5.5m, average grade at 1:6, and requires the driveway to sit at least 500mm clear of kerb drainage structures and side fencing. The decorative finish is mandated, not optional, which"
1:6,council-sourced-pending-verification,1,922,decorative-concrete-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Honed And Polished Concrete before it is applied to a project scope. decorative-finish scope sta"
1:6,council-sourced-pending-verification,1,129,exposed-aggregate-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. aggregate-finish scope records intended use; aggregate-finish scope retains the source. aggregate-finish scope cites the loading; aggregate-fini"
1:6,council-sourced-pending-verification,1,12,homepage,home,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"concrete, 125mm thickness, SL72 fabric, 4.0-5.5m urban width, a 1200mm footpath allocation, 4% crossfall and a maximum 1:6 batter. Tier 1 service areas are Oran Park , Leppington , Gregory Hills , Gledswood Hills , Austral and Harrington Park . Camden ground, levels and council"
1:6,council-sourced-pending-verification,1,1367,shed-and-garage-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"L72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. shed-slab scope documents intended use; shed-slab scope keeps provenance visible. shed-slab scope tests the loading; shed-slab scope preserves a"
4%,council-sourced-pending-verification,1,706,camden-council-driveway-crossing,guide,draft,YES,none — WITHDRAWN (D21),NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"sidential specification is 32 MPa concrete, 125mm thickness, SL72 fabric, 4.0-5.5m width, a 1200mm footpath allocation, 4% crossfall and maximum 1:6 batter. camden-council-driveway-guide lists decision owner; camden-council-driveway-guide leaves an audit trail. camden-council-dri"
4%,council-sourced-pending-verification,1,1369,commercial-concreting-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. hardstand-work scope tracks intended use; hardstand-work scope keeps provenance visible. hardstand-work scope notes the l"
4%,council-sourced-pending-verification,1,1368,concrete-crossovers-and-laybacks-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Driveway Crossover Cost NSW before it is applied to a project scope. cros"
4%,council-sourced-pending-verification,1,1366,concrete-driveway-replacement-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in How Long Before You Can Drive On Concrete before it is applied to a proje"
4%,council-sourced-pending-verification,1,105,concrete-driveways-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in What Actually Moves A Concrete Quote before it is applied to a project sc"
4%,council-sourced-pending-verification,1,178,concrete-paths-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. pathway-work scope tracks intended use; pathway-work scope leaves an audit trail. pathway-work scope notes the loading; p"
4%,council-sourced-pending-verification,1,195,concrete-patios-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. alfresco-slab scope logs intended use; alfresco-slab scope keeps the basis explicit. alfresco-slab scope verifies the loa"
4%,council-sourced-pending-verification,1,163,concrete-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Shed Slab Cost before it is applied to a project scope. residential-slab"
4%,council-sourced-pending-verification,1,1371,concreters-catherine-field,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Catherine Field starts, the governing lot and application path are checked. The related vehicle-"
4%,council-sourced-pending-verification,1,1379,concreters-cobbitty,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Cobbitty starts, the governing lot and application path are checked. The related vehicle-crossin"
4%,council-sourced-pending-verification,1,1376,concreters-currans-hill,suburb,draft,no,none — unresearched,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Currans Hill starts, the governing lot and application path are checked. The related vehicle-cro"
4%,council-sourced-pending-verification,1,1378,concreters-elderslie,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Elderslie starts, the governing lot and application path are checked. The related vehicle-crossi"
4%,council-sourced-pending-verification,1,1370,concreters-gledswood-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. For crossover work in Gledswood Hills , council geometry and the estate finish control are both confirmed before work sta"
4%,council-sourced-pending-verification,1,969,concreters-gregory-hills,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Gregory Hills starts, the governing lot and application path are checked. The related vehicle-cr"
4%,council-sourced-pending-verification,1,1126,concreters-harrington-park,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Harrington Park starts, the governing lot and application path are checked. The related vehicle-"
4%,council-sourced-pending-verification,1,1375,concreters-mount-annan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Mount Annan starts, the governing lot and application path are checked. The related vehicle-cros"
4%,council-sourced-pending-verification,1,1372,concreters-narellan,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Narellan starts, the governing lot and application path are checked. The related vehicle-crossin"
4%,council-sourced-pending-verification,1,474,concreters-oran-park,suburb,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ing: where there's no concrete footpath in front of your property yet, the footpath allocation area has to be graded at 4% crossfall, so a footpath can be built later without an awkward step. If that grade can't be achieved, Council wants a pre-commencement inspection before you"
4%,council-sourced-pending-verification,1,1377,concreters-spring-farm,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Spring Farm starts, the governing lot and application path are checked. The related vehicle-cros"
4%,council-sourced-pending-verification,1,922,decorative-concrete-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Honed And Polished Concrete before it is applied to a project scope. deco"
4%,council-sourced-pending-verification,1,129,exposed-aggregate-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"ation: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. aggregate-finish scope records intended use; aggregate-finish scope retains the source. aggregate-finish scope cites the"
