requirement_id,wave,page_slug,page_type,elementor_widget_id,section,slot_classification,required_or_optional,asset_source,subject,orientation,aspect_ratio,min_dimensions,preferred_format,safe_filename,alt_text_rule,geographic_claim_allowed,evidence_required,reuse_allowed,current_attachment_id,current_filename,required_action,owner_input,blocks_launch,notes
IMG-0011,conditional-minimum; Wave 1,homepage,home,51fc6392,"7fc5ce03 — Camden ground, levels and council requirements",OPTIONAL-REMOVE,optional,existing re-encoded media,Empty reviewer portrait beside placeholder testimonial copy; visible purpose: [[PLACEHOLDER: verified reviewer name]],not applicable,not applicable,not applicable,not applicable,,not applicable — remove the testimonial widget,no,reports/45-testimonial-audit.md: unsupported placeholder testimonial,no,,,"remove the complete placeholder testimonial widget, not only its empty portrait",none unless a genuine documented testimonial is later supplied,yes for homepage publication,page_id=12; widget_type=testimonial; setting=testimonial_image; testimonial/review; permission=not permitted as a testimonial; source_geographic_claim=none in permitted derivative; project_claim=yes; can be removed without loss of page meaning; derivative_slot=present
IMG-0012,Wave 1,concrete-driveways-south-west-sydney,service,fbc5b30,5140093 — Ground support for concrete driveways,OPTIONAL-REMOVE,optional,existing re-encoded media,Image testemonials camden in the context of Concrete Driveways South West Sydney; visible purpose: Ground support for concrete driveways,square,1:1,62x62,JPEG,,Describe only the visible subject; empty alt if purely decorative,no,owner-recorded Band B verdict; build/45-media-remediation.csv,no,280,image-testemonials-camden-280.jpeg,keep the prohibited asset and every direct slot removed; do not replace,none,no,page_id=105; widget_type=image; setting=image; decorative; permission=asset excluded from public payload; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=absent
IMG-0013,Wave 1,concrete-driveways-south-west-sydney,service,d91bcc2,f4f418c — Reinforcement for concrete driveways,OPTIONAL-REMOVE,optional,existing re-encoded media,Blank image-placeholder graphic; visible purpose: Reinforcement for concrete driveways,landscape,451:322,902x644,JPEG,,not applicable — remove blank placeholder slot,no,pixel inspection of local binary; blank placeholder icon only,no,323,about-2-hero-323.jpg,remove this visual placeholder without replacement,none,no,"page_id=105; widget_type=image; setting=image; decorative; permission=currently pipeline-permitted, but visually unusable; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present"
IMG-0014,Wave 1,concrete-driveways-south-west-sydney,service,104d481,b61f1c2 — Finished levels for concrete driveways,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Synthetic turf and timber landscaping; no concrete subject; visible purpose: Finished levels for concrete driveways,landscape,1254:941,1254x941,WebP,,remove with slot if UNUSABLE; no local alt is permitted without provenance,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",no — recommended UNUSABLE,480,oran-park1-480.webp,owner records verdict; audit recommends UNUSABLE; transformer then regenerates derivative,record explicit UNUSABLE (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,"page_id=105; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename asserts Oran Park, NSW.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent"
IMG-0015,Wave 1,concrete-driveways-south-west-sydney,service,620b9f2,a2970f7 — Council requirements for concrete driveways,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Timber bench or deck; no concrete subject; visible purpose: Council requirements for concrete driveways,landscape,1254:941,1254x941,WebP,,remove with slot if UNUSABLE; no local alt is permitted without provenance,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",no — recommended UNUSABLE,481,oran-park2-481.webp,owner records verdict; audit recommends UNUSABLE; transformer then regenerates derivative,record explicit UNUSABLE (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,"page_id=105; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename asserts Oran Park, NSW.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent"
IMG-0016,Wave 1,concrete-driveways-south-west-sydney,service,015aff8,a32399d — Finish and curing for concrete driveways,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Timber deck framing and bare ground; no concrete subject; visible purpose: Finish and curing for concrete driveways,portrait,3:4,750x1000,WebP,,remove with slot if UNUSABLE; no local alt is permitted without provenance,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",no — recommended UNUSABLE,482,oran-park3-482.webp,owner records verdict; audit recommends UNUSABLE; transformer then regenerates derivative,record explicit UNUSABLE (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,"page_id=105; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename asserts Oran Park, NSW.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent"
IMG-0017,Wave 1,concrete-driveways-south-west-sydney,service,5e63315,a32399d — Finish and curing for concrete driveways,EXISTING-APPROVED,optional,existing re-encoded media,Exposed aggregate driveway leading to a home; visible purpose: Finish and curing for concrete driveways,landscape,1419:1064,1419x1064,JPEG,exposed-aggregate-residential-driveway-609.jpg,Exposed aggregate driveway leading to a home,no,D24/D20: reverse Adelaide to South West Sydney naming substitution,yes — decorative/non-evidential only,609,exposed-aggregate-residential-driveway-609.jpg,retain current generic placement,none,no,page_id=105; widget_type=image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0018,Wave 1,concrete-driveways-south-west-sydney,service,7c2901e,a32399d — Finish and curing for concrete driveways,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Excavated residential area; visible purpose: Finish and curing for concrete driveways,landscape,723:376,723x376,JPEG,residential-site-excavation-906.jpg,Excavated residential area prepared for concrete work,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",yes only if owner records GENERIC,906,driveway-excavation-camden-906.jpg,owner records verdict; audit recommends GENERIC; transformer then regenerates derivative,record explicit GENERIC (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,page_id=105; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename and alt assert the excavation is in Camden.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent
IMG-0019,Wave 1,concrete-driveways-south-west-sydney,service,ae99959,a089da8 — Areas served for concrete driveways,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Identifiable Werribee heritage mansion and gardens; no concrete subject; visible purpose: Areas served for concrete driveways,landscape,101:76,505x380,JPEG,,remove with slot if UNUSABLE; no local alt is permitted without provenance,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",no — recommended UNUSABLE,907,camden-town-centre-907.jpg,owner records verdict; audit recommends UNUSABLE; transformer then regenerates derivative,record explicit UNUSABLE (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,page_id=105; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename and alt assert this is Camden town centre.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent
IMG-0020,Wave 1,concrete-driveways-south-west-sydney,service,7886294,4b91b73 — Cost inputs for concrete driveways / Questions about concrete driveways,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Aerial view of a developing housing estate; visible purpose: Cost inputs for concrete driveways / Questions about concrete driveways,landscape,523:367,523x367,JPEG,aerial-new-housing-estate-908.jpg,Aerial view of a developing suburban housing estate,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",yes only if owner records GENERIC,908,oran-park-growth-estate-908.jpg,owner records verdict; audit recommends GENERIC; transformer then regenerates derivative,record explicit GENERIC (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,page_id=105; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename and alt assert an Oran Park growth estate.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent
IMG-0021,Wave 1,concrete-driveways-south-west-sydney,service,154c6cb,57035e1 — What concrete driveways covers in South West Sydney / Site assessment for concrete driveways,EXISTING-APPROVED,optional,existing re-encoded media,Control joints and cracks; visible purpose: What concrete driveways covers in South West Sydney / Site assessment for concrete driveways,landscape,627:469,627x469,JPEG,control-joints-and-cracks-909.jpg,Control joints and cracks,no,D24/D20 naming-convention reversal,yes — decorative/non-evidential only,909,control-joints-and-cracks-909.jpg,retain current generic placement,none,no,page_id=105; widget_type=image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0022,Wave 1,concrete-driveways-south-west-sydney,service,51a4a3e,b4df2ad — Ground support for concrete driveways / Reinforcement for concrete driveways,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Coloured residential concrete patio; visible purpose: Ground support for concrete driveways / Reinforcement for concrete driveways,square,1:1,1176x1176,PNG,coloured-concrete-patio-924.png,Coloured concrete patio beside a home,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",yes only if owner records GENERIC,924,coloured-concrete-south-west-sydney-924.png,owner records verdict; audit recommends GENERIC; transformer then regenerates derivative,record explicit GENERIC (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,page_id=105; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename and alt assert South West Sydney.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent
IMG-0023,Wave 1,exposed-aggregate-south-west-sydney,service,ac3ac3a,4ae29fa — What exposed aggregate concrete covers in South West Sydney,EXISTING-APPROVED,optional,existing re-encoded media,Accessible paths concrete; visible purpose: What exposed aggregate concrete covers in South West Sydney,portrait,74:81,518x567,JPEG,accessible-paths-concrete-184.jpg,Accessible paths concrete,no,D24/D20 naming-convention reversal,yes — decorative/non-evidential only,184,accessible-paths-concrete-184.jpg,retain current generic placement,none,no,page_id=129; widget_type=image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0024,Wave 1,exposed-aggregate-south-west-sydney,service,34c11481,597d0edf — Site assessment for exposed aggregate concrete,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Freshly finished residential side-yard slab; visible purpose: Site assessment for exposed aggregate concrete,landscape,627:470,627x470,JPEG,fresh-concrete-side-yard-slab-226.jpg,Freshly finished concrete slab in a residential side yard,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",yes only if owner records GENERIC,226,concretejob2camden-226.jpg,owner records verdict; audit recommends GENERIC; transformer then regenerates derivative,record explicit GENERIC (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,page_id=129; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename asserts the job is in Camden.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent
IMG-0025,Wave 1,exposed-aggregate-south-west-sydney,service,280275a7,50f06cb0 — Ground support for exposed aggregate concrete,EXISTING-APPROVED,optional,existing re-encoded media,Backyard patio concreter; visible purpose: Ground support for exposed aggregate concrete,landscape,4:3,784x588,JPEG,backyard-patio-concreter-227.jpg,Backyard patio concreter,no,D24/D20 naming-convention reversal,yes — decorative/non-evidential only,227,backyard-patio-concreter-227.jpg,retain current generic placement,none,no,page_id=129; widget_type=image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0026,Wave 1,exposed-aggregate-south-west-sydney,service,2e70a00,1edad6b9 — Reinforcement for exposed aggregate concrete,EXISTING-APPROVED,optional,existing re-encoded media,Freshly poured concrete slab along a side boundary; visible purpose: Reinforcement for exposed aggregate concrete,landscape,125:94,625x470,JPEG,fresh-concrete-side-yard-slab-228.jpg,Freshly poured concrete slab along a side boundary,no,owner-recorded Band B verdict; build/45-media-remediation.csv,yes — decorative/non-evidential only,228,fresh-concrete-side-yard-slab-228.jpg,retain current generic placement,none,no,page_id=129; widget_type=image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0027,Wave 1,exposed-aggregate-south-west-sydney,service,47d78a35,356b1e76 — Finished levels for exposed aggregate concrete,OPTIONAL-REMOVE,optional,existing re-encoded media,Blank image-placeholder graphic; visible purpose: Finished levels for exposed aggregate concrete,landscape,503:409,1006x818,JPEG,,not applicable — remove blank placeholder slot,no,pixel inspection of local binary; blank placeholder icon only,no,275,image-placeholder-hero-275.jpeg,remove this visual placeholder without replacement,none,no,"page_id=129; widget_type=image; setting=image; decorative; permission=currently pipeline-permitted, but visually unusable; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present"
IMG-0028,Wave 1,concrete-slabs-south-west-sydney,service,ae41c11,8dd3b78 — What concrete slabs covers in South West Sydney,EXISTING-APPROVED,optional,existing re-encoded media,What is exposed aggregate; visible purpose: What concrete slabs covers in South West Sydney,portrait,507:581,507x581,JPEG,what-is-exposed-aggregate-1109.jpg,What is exposed aggregate,no,D24/D20 naming-convention reversal,yes — decorative/non-evidential only,1109,what-is-exposed-aggregate-1109.jpg,retain current generic placement,none,no,page_id=163; widget_type=image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0029,Wave 1,concrete-slabs-south-west-sydney,service,2fc74005,30b47498 — Ground support for concrete slabs,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Single-storey brick home with driveway; visible purpose: Ground support for concrete slabs,landscape,558:361,558x361,JPEG,single-storey-brick-home-driveway-1150.jpg,Single-storey brick home with a concrete driveway,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",yes only if owner records GENERIC,1150,established-home-mount-annan-1150.jpg,owner records verdict; audit recommends GENERIC; transformer then regenerates derivative,record explicit GENERIC (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,"page_id=163; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename and alt assert an established home in Mount Annan, NSW.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent"
IMG-0030,Wave 1,concrete-slabs-south-west-sydney,service,641391f1,983c5b3 — Reinforcement for concrete slabs,EXISTING-APPROVED,optional,existing re-encoded media,Dry cracked ground surface; visible purpose: Reinforcement for concrete slabs,landscape,723:350,723x350,JPEG,dry-cracked-ground-1151.jpg,Dry cracked ground surface,no,D18/D20: remove unsupported geographic and geological assertion,yes — decorative/non-evidential only,1151,dry-cracked-ground-1151.jpg,retain current generic placement,none,no,page_id=163; widget_type=image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0031,Wave 1,concrete-slabs-south-west-sydney,service,4a3b804f,7874f636 — Finished levels for concrete slabs,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Aerial landscaped park surrounded by housing; visible purpose: Finished levels for concrete slabs,landscape,623:471,623x471,JPEG,aerial-suburban-park-and-housing-1152.jpg,Aerial view of a landscaped park surrounded by housing,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",yes only if owner records GENERIC,1152,mount-annan-established-housing-1152.jpg,owner records verdict; audit recommends GENERIC; transformer then regenerates derivative,record explicit GENERIC (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,"page_id=163; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename and alt assert established housing in Mount Annan, NSW.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent"
IMG-0032,Wave 1,concrete-slabs-south-west-sydney,service,50151b3b,5bb41fd3 — Council requirements for concrete slabs,EXISTING-APPROVED,optional,existing re-encoded media,Concrete vehicle crossing between a kerb and property boundary; visible purpose: Council requirements for concrete slabs,landscape,767:383,767x383,JPEG,concrete-vehicle-crossing-1153.jpg,Concrete vehicle crossing between a kerb and property boundary,no,D24/D20: remove unsupported Camden council/location assertion,yes — decorative/non-evidential only,1153,concrete-vehicle-crossing-1153.jpg,retain current generic placement,none,no,page_id=163; widget_type=image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0033,Wave 1,concrete-slabs-south-west-sydney,service,899b5bf,3a44da3 — Cost inputs for concrete slabs,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Dark concrete driveway crossing; visible purpose: Cost inputs for concrete slabs,landscape,101:76,505x380,JPEG,dark-concrete-driveway-crossing-1185.jpg,Dark concrete driveway crossing between a kerb and property,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",yes only if owner records GENERIC,1185,council-crossing-south-west-sydney-1185.jpg,owner records verdict; audit recommends GENERIC; transformer then regenerates derivative,record explicit GENERIC (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,page_id=163; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename and alt assert a council crossing in South West Sydney.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent
IMG-0034,Wave 1,concrete-slabs-south-west-sydney,service,18063b5,7feb0ca — Questions about concrete slabs,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Modern commercial building with concrete hardstand; visible purpose: Questions about concrete slabs,landscape,964:543,964x543,WebP,commercial-building-concrete-hardstand-1186.webp,Modern commercial building with a concrete hardstand,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",yes only if owner records GENERIC,1186,gregory-hills-commercial-concreting-1186.webp,owner records verdict; audit recommends GENERIC; transformer then regenerates derivative,record explicit GENERIC (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,"page_id=163; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename and alt assert commercial concreting in Gregory Hills, NSW.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent"
IMG-0035,Wave 1,concrete-slabs-south-west-sydney,service,aab2150,43f7482 — What concrete slabs covers in South West Sydney,BLOCKED-PENDING-VERDICT,optional,existing re-encoded media,Estate playground with prominent M locality branding; no concrete subject; visible purpose: What concrete slabs covers in South West Sydney,landscape,79:38,632x304,JPEG,,remove with slot if UNUSABLE; no local alt is permitted without provenance,no,"No Camden/NSW provenance in repository; original Victorian filename is provenance of source, not NSW provenance",no — recommended UNUSABLE,1187,leppington-new-estates-1187.jpg,owner records verdict; audit recommends UNUSABLE; transformer then regenerates derivative,record explicit UNUSABLE (or another supported verdict) in worksheet; OK additionally needs documentary provenance,yes — Band A public-media gate,"page_id=163; widget_type=image; setting=image; geographic-claim-bearing in source; decorative only if owner selects GENERIC; permission=HOLD; absent from derivative and public media; source_geographic_claim=Filename and alt assert new estates in Leppington, NSW.; project_claim=yes; can be removed without loss of page meaning; derivative_slot=absent"
IMG-0036,Wave 1,concrete-slabs-south-west-sydney,service,8aac8e0,47eb6dc — Site assessment for concrete slabs,EXISTING-APPROVED,optional,existing re-encoded media,Dry cracked ground surface; visible purpose: Site assessment for concrete slabs,landscape,723:350,723x350,JPEG,dry-cracked-ground-1188.jpg,Dry cracked ground surface,no,D18/D20: remove unsupported geographic and geological assertion,yes — decorative/non-evidential only,1188,dry-cracked-ground-1188.jpg,retain current generic placement,none,no,page_id=163; widget_type=image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
