attachment_id,band,verdict,payload_action,current_filename,target_filename,target_title,target_alt,authority,usage_restriction
226,A,GENERIC,RENAME,concretejob2camden-226.jpg,fresh-concrete-side-yard-slab-226.jpg,Fresh concrete side yard slab,Freshly finished concrete slab in a residential side yard,owner approval dated 20 August 2026; exact Report 49 GENERIC mapping,"decorative/non-evidential only; no Camden/South West Sydney, completed project, customer, testimonial, premises, equipment-ownership or NSW-operator implication"
227,D,GENERIC,RENAME,backyard-patio-concreter-camden-227.jpg,backyard-patio-concreter-227.jpg,Backyard patio concreter,Backyard patio concreter,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
228,B,GENERIC,RENAME,concretejob1camden-228.jpg,fresh-concrete-side-yard-slab-228.jpg,Fresh concrete side-yard slab,Freshly poured concrete slab along a side boundary,owner-recorded Band B verdict; build/45-media-remediation.csv,Decorative only; never customer evidence or recent work
250,D,UNUSABLE,EXCLUDE,corex-concreters-camden-logo-250.png,,,,"Astra product mark, not a Structure Co asset",
272,D,UNUSABLE,EXCLUDE,cropped-chatgpt-image-jul-6-2026-01-52-19-pm-camden-272.png,,,,D24 and C2PA/AI provenance finding,
275,D,UNUSABLE,EXCLUDE,image-placeholder-hero-camden-275.jpeg,,,,owner-approved Report 49 zero-new-photograph plan; blank placeholder asset,remove every recorded placeholder slot without replacement
276,D,UNUSABLE,EXCLUDE,image-contact-1-camden-276.jpg,,,,owner-approved Report 49 zero-new-photograph plan; blank placeholder asset,remove every recorded placeholder slot without replacement
277,D,UNUSABLE,EXCLUDE,image-placeholder-hero-1-camden-277.jpeg,,,,owner-approved Report 49 zero-new-photograph plan; blank placeholder asset,remove every recorded placeholder slot without replacement
278,D,UNUSABLE,EXCLUDE,image-placeholder-about-1-camden-278.jpeg,,,,owner-approved Report 49 zero-new-photograph plan; blank placeholder asset,remove every recorded placeholder slot without replacement
279,D,UNUSABLE,EXCLUDE,image-placeholder-about-camden-279.jpeg,,,,owner-approved Report 49 zero-new-photograph plan; blank placeholder asset,remove every recorded placeholder slot without replacement
280,B,UNUSABLE,EXCLUDE,image-testemonials-camden-280.jpeg,,,,owner-recorded Band B verdict; build/45-media-remediation.csv,Remove every slot; do not replace
306,C,RETIRED,EXCLUDE,corex-concreters-camden-logo-306.png,,,,D18/D36 retired E&T brand attachment,Structure Co replacements are supplied separately; old slot may not survive
307,C,RETIRED,EXCLUDE,corex-concreters-camden-logo-307.png,,,,D18/D36 retired E&T brand attachment,Structure Co replacements are supplied separately; old slot may not survive
308,D,UNUSABLE,EXCLUDE,corex-concreters-camden-logo-308.png,,,,D24 and C2PA/AI provenance finding,
309,D,UNUSABLE,EXCLUDE,corex-concreters-camden-logo-309.png,,,,D24 and C2PA/AI provenance finding,
323,D,UNUSABLE,EXCLUDE,about-2-hero-camden-323.jpg,,,,owner-approved Report 49 zero-new-photograph plan; blank placeholder asset,remove every recorded placeholder slot without replacement
422,C,RETIRED,EXCLUDE,corex-concreters-camden-logo-422.png,,,,D18/D36 retired E&T brand attachment,Structure Co replacements are supplied separately; old slot may not survive
468,D,UNUSABLE,EXCLUDE,corex-concreters-camden-logo-468.png,,,,E&T Concreters Melbourne wordmark; duplicate contract requires pair treatment,
469,C,RETIRED,EXCLUDE,corex-concreters-camden-logo-469.png,,,,D18/D36 retired E&T brand attachment,Structure Co replacements are supplied separately; old slot may not survive
471,D,UNUSABLE,EXCLUDE,corex-concreters-camden-logo-471.png,,,,E&T Concreters Melbourne wordmark; duplicate contract requires pair treatment,
472,C,RETIRED,EXCLUDE,corex-concreters-camden-logo-472.png,,,,D18/D36 retired E&T brand attachment,Structure Co replacements are supplied separately; old slot may not survive
480,A,UNUSABLE,EXCLUDE,oran-park1-480.webp,,,,owner approval dated 20 August 2026; exact Report 49 UNUSABLE mapping,remove public slots without replacement
481,A,UNUSABLE,EXCLUDE,oran-park2-481.webp,,,,owner approval dated 20 August 2026; exact Report 49 UNUSABLE mapping,remove public slots without replacement
482,A,UNUSABLE,EXCLUDE,oran-park3-482.webp,,,,owner approval dated 20 August 2026; exact Report 49 UNUSABLE mapping,remove public slots without replacement
609,D,GENERIC,RENAME,exposed-aggregate-south-west-sydney-609.jpg,exposed-aggregate-residential-driveway-609.jpg,Exposed aggregate residential driveway,Exposed aggregate driveway leading to a home,D24/D20: reverse Adelaide to South West Sydney naming substitution,decorative/non-evidential; no geographic or completed-project implication
906,A,GENERIC,RENAME,driveway-excavation-camden-906.jpg,residential-site-excavation-906.jpg,Residential site excavation,Excavated residential area prepared for concrete work,owner approval dated 20 August 2026; exact Report 49 GENERIC mapping,"decorative/non-evidential only; no Camden/South West Sydney, completed project, customer, testimonial, premises, equipment-ownership or NSW-operator implication"
907,A,UNUSABLE,EXCLUDE,camden-town-centre-907.jpg,,,,owner approval dated 20 August 2026; exact Report 49 UNUSABLE mapping,remove public slots without replacement
908,A,GENERIC,RENAME,oran-park-growth-estate-908.jpg,aerial-new-housing-estate-908.jpg,Aerial new housing estate,Aerial view of a developing suburban housing estate,owner approval dated 20 August 2026; exact Report 49 GENERIC mapping,"decorative/non-evidential only; no Camden/South West Sydney, completed project, customer, testimonial, premises, equipment-ownership or NSW-operator implication"
909,D,GENERIC,RENAME,control-joints-and-cracks-camden-909.jpg,control-joints-and-cracks-909.jpg,Control joints and cracks,Control joints and cracks,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
924,A,GENERIC,RENAME,coloured-concrete-south-west-sydney-924.png,coloured-concrete-patio-924.png,Coloured concrete patio,Coloured concrete patio beside a home,owner approval dated 20 August 2026; exact Report 49 GENERIC mapping,"decorative/non-evidential only; no Camden/South West Sydney, completed project, customer, testimonial, premises, equipment-ownership or NSW-operator implication"
925,A,GENERIC,RENAME,stencil-concrete-south-west-sydney-925.webp,stencilled-concrete-driveway-925.webp,Stencilled concrete driveway,Stencilled concrete driveway with a block pattern,owner approval dated 20 August 2026; exact Report 49 GENERIC mapping,"decorative/non-evidential only; no Camden/South West Sydney, completed project, customer, testimonial, premises, equipment-ownership or NSW-operator implication"
926,A,GENERIC,RENAME,stamped-concrete-south-west-sydney-926.jpg,stamped-concrete-driveway-926.jpg,Stamped concrete driveway,Stamped concrete driveway beside a brick home,owner approval dated 20 August 2026; exact Report 49 GENERIC mapping,"decorative/non-evidential only; no Camden/South West Sydney, completed project, customer, testimonial, premises, equipment-ownership or NSW-operator implication"
927,D,GENERIC,RENAME,honed-and-polished-concrete-camden-927.webp,honed-and-polished-concrete-927.webp,Honed and polished concrete,Honed and polished concrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
956,A,UNUSABLE,EXCLUDE,south-west-sydney-growth-corridor-956.png,,,,owner approval dated 20 August 2026; exact Report 49 UNUSABLE mapping,remove public slots without replacement
1020,D,UNUSABLE,EXCLUDE,wianamatta-shale-clay-camden-1020.jpg,,,,D19 removes the Tarneit soil photograph and retains its containing sections,
1056,D,GENERIC,RENAME,south-creek-drainage-corridor-1056.jpg,aerial-waterway-residential-area-1056.jpg,Aerial waterway beside a residential area,Aerial view of a waterway beside a residential area,D18/D20: Victorian Davis Creek cannot be named as South Creek,decorative/non-evidential; no geographic or completed-project implication
1065,D,GENERIC,RENAME,concrete-slabs-camden-1065.jpg,concrete-slabs-1065.jpg,Concrete slabs,Concrete slabs,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1066,D,GENERIC,RENAME,pouring-a-concrete-slab-camden-1066.jpg,pouring-a-concrete-slab-1066.jpg,Pouring a concrete slab,Pouring a concrete slab,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1067,B,UNUSABLE,EXCLUDE,verified-badge-e1784545689665-camden-1067.avif,,,,owner-recorded Band B verdict; build/45-media-remediation.csv,Remove every slot; do not replace or substitute another badge
1068,D,GENERIC,RENAME,what-is-a-concrete-slab-camden-1068.jpg,what-is-a-concrete-slab-1068.jpg,What is a concrete slab,What is a concrete slab,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1109,D,GENERIC,RENAME,what-is-exposed-aggregate-camden-1109.jpg,what-is-exposed-aggregate-1109.jpg,What is exposed aggregate,What is exposed aggregate,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1150,A,GENERIC,RENAME,established-home-mount-annan-1150.jpg,single-storey-brick-home-driveway-1150.jpg,Single storey brick home driveway,Single-storey brick home with a concrete driveway,owner approval dated 20 August 2026; exact Report 49 GENERIC mapping,"decorative/non-evidential only; no Camden/South West Sydney, completed project, customer, testimonial, premises, equipment-ownership or NSW-operator implication"
1151,D,GENERIC,RENAME,reactive-clay-concreter-camden-1151.jpg,dry-cracked-ground-1151.jpg,Dry cracked ground,Dry cracked ground surface,D18/D20: remove unsupported geographic and geological assertion,decorative/non-evidential; no geographic or completed-project implication
1152,A,GENERIC,RENAME,mount-annan-established-housing-1152.jpg,aerial-suburban-park-and-housing-1152.jpg,Aerial suburban park and housing,Aerial view of a landscaped park surrounded by housing,owner approval dated 20 August 2026; exact Report 49 GENERIC mapping,"decorative/non-evidential only; no Camden/South West Sydney, completed project, customer, testimonial, premises, equipment-ownership or NSW-operator implication"
1153,D,GENERIC,RENAME,camden-council-driveway-crossing-1153.jpg,concrete-vehicle-crossing-1153.jpg,Concrete vehicle crossing,Concrete vehicle crossing between a kerb and property boundary,D24/D20: remove unsupported Camden council/location assertion,decorative/non-evidential; no geographic or completed-project implication
1185,A,GENERIC,RENAME,council-crossing-south-west-sydney-1185.jpg,dark-concrete-driveway-crossing-1185.jpg,Dark concrete driveway crossing,Dark concrete driveway crossing between a kerb and property,owner approval dated 20 August 2026; exact Report 49 GENERIC mapping,"decorative/non-evidential only; no Camden/South West Sydney, completed project, customer, testimonial, premises, equipment-ownership or NSW-operator implication"
1186,A,GENERIC,RENAME,gregory-hills-commercial-concreting-1186.webp,commercial-building-concrete-hardstand-1186.webp,Commercial building concrete hardstand,Modern commercial building with a concrete hardstand,owner approval dated 20 August 2026; exact Report 49 GENERIC mapping,"decorative/non-evidential only; no Camden/South West Sydney, completed project, customer, testimonial, premises, equipment-ownership or NSW-operator implication"
1187,A,UNUSABLE,EXCLUDE,leppington-new-estates-1187.jpg,,,,owner approval dated 20 August 2026; exact Report 49 UNUSABLE mapping,remove public slots without replacement
1188,D,GENERIC,RENAME,reactive-clay-concreter-1-camden-1188.jpg,dry-cracked-ground-1188.jpg,Dry cracked ground,Dry cracked ground surface,D18/D20: remove unsupported geographic and geological assertion,decorative/non-evidential; no geographic or completed-project implication
1230,D,GENERIC,RENAME,shrinkage-cracks-camden-1230.jpg,shrinkage-cracks-1230.jpg,Shrinkage cracks,Shrinkage cracks,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1231,D,GENERIC,RENAME,settlement-cracks-camden-1231.jpg,settlement-cracks-1231.jpg,Settlement cracks,Settlement cracks,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1232,D,GENERIC,RENAME,heave-cracks-camden-1232.jpg,heave-cracks-1232.jpg,Heave cracks,Heave cracks,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1233,D,GENERIC,RENAME,structural-cracks-camden-1233.jpg,structural-cracks-1233.jpg,Structural cracks,Structural cracks,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1345,D,GENERIC,RENAME,concrete-sealing-camden-1345.jpg,concrete-sealing-1345.jpg,Concrete sealing,Concrete sealing,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1359,D,GENERIC,RENAME,concrete-driveway-cracks-camden-1359.jpg,concrete-driveway-cracks-1359.jpg,Concrete driveway cracks,Concrete driveway cracks,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1361,D,GENERIC,RENAME,concrete-driveway-cracks-1-camden-1361.jpg,concrete-driveway-cracks-1-1361.jpg,Concrete driveway cracks 1,Concrete driveway cracks 1,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
1362,D,GENERIC,RENAME,concrete-driveway-cracks-2-camden-1362.jpg,concrete-driveway-cracks-2-1362.jpg,Concrete driveway cracks 2,Concrete driveway cracks 2,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
